,ufId,idProceso,fechaInicio,fechaTermino
0,158,1903,2021-10-01 04:00:00    ,2022-05-20 10:00:00    
1,212,2544,2022-02-02 04:00:00    ,2022-05-19 15:00:00    
2,212,2556,2022-01-21 13:00:00    ,2022-05-19 15:00:00    
3,224,47,2021-05-14 14:00:00    ,2022-05-17 23:00:00    
4,224,69,2021-06-01 04:00:00    ,2022-05-18 05:00:00    
5,224,70,2021-05-14 14:00:00    ,2022-05-18 06:00:00    
6,224,98,2021-05-14 14:00:00    ,2022-05-18 10:00:00    
7,227,325,2021-05-15 10:00:00    ,2022-01-10 15:00:00    
8,227,326,2021-01-13 18:00:00    ,2022-05-08 15:00:00    
9,233,290,2021-09-10 19:00:00    ,2021-11-27 18:00:00    
10,299,201,2021-09-01 04:00:00    ,2022-05-19 14:00:00    
11,299,202,2021-09-01 04:00:00    ,2022-05-19 14:00:00    
12,299,203,2021-09-01 04:00:00    ,2022-05-19 15:00:00    
13,299,204,2021-09-01 04:00:00    ,2022-05-19 15:00:00    
14,299,205,2021-08-01 04:00:00    ,2022-05-19 15:00:00    
15,299,206,2021-08-01 04:00:00    ,2022-05-19 15:00:00    
16,299,207,2021-09-01 04:00:00    ,2022-05-19 15:00:00    
17,299,208,2021-08-01 04:00:00    ,2022-05-15 09:00:00    
18,299,209,2021-09-01 04:00:00    ,2022-05-19 15:00:00    
19,299,210,2021-08-01 04:00:00    ,2022-05-19 15:00:00    
20,299,211,2021-09-01 04:00:00    ,2022-05-19 16:00:00    
21,299,212,2021-09-01 04:00:00    ,2022-05-19 16:00:00    
22,299,213,2021-09-01 04:00:00    ,2022-05-19 16:00:00    
23,344,165,2021-06-01 04:00:00    ,2022-05-19 02:00:00    
24,344,171,2021-06-01 04:00:00    ,2022-05-19 02:00:00    
25,344,172,2021-06-01 04:00:00    ,2022-05-19 02:00:00    
26,529,305,2021-08-01 04:00:00    ,2022-03-01 03:00:00    
27,529,306,2021-08-01 04:00:00    ,2022-03-01 03:00:00    
28,529,307,2021-08-01 04:00:00    ,2022-05-20 00:00:00    
29,529,308,2021-08-01 04:00:00    ,2022-05-20 00:00:00    
30,561,119,2021-03-01 04:00:00    ,2022-05-18 14:00:00    
31,595,302,2021-11-24 13:00:00    ,2022-05-14 18:00:00    
32,622,298,2021-11-24 21:00:00    ,2022-05-18 10:00:00    
33,622,299,2021-11-24 21:00:00    ,2022-05-19 22:00:00    
34,636,51,2021-08-01 04:00:00    ,2022-05-18 01:00:00    
35,639,44,2021-09-09 19:00:00    ,2022-05-17 22:00:00    
36,639,45,2021-09-09 19:00:00    ,2022-05-17 23:00:00    
37,661,146,2021-09-09 19:00:00    ,2022-05-18 19:00:00    
38,661,147,2021-09-09 19:00:00    ,2022-05-18 20:00:00    
39,661,148,2021-09-09 19:00:00    ,2022-05-18 20:00:00    
40,674,123,2021-09-28 20:00:00    ,2022-05-18 14:00:00    
41,674,125,2021-09-28 20:00:00    ,2022-05-18 15:00:00    
42,704,145,2021-08-01 04:00:00    ,2022-05-18 19:00:00    
43,705,140,2021-08-01 04:00:00    ,2022-05-18 18:00:00    
44,705,142,2021-08-01 04:00:00    ,2022-05-18 18:00:00    
45,705,143,2021-08-01 04:00:00    ,2022-05-18 19:00:00    
46,709,300,2021-11-24 21:00:00    ,2022-05-19 22:00:00    
47,709,301,2021-11-24 21:00:00    ,2022-05-19 22:00:00    
48,714,150,2021-09-09 19:00:00    ,2022-05-18 21:00:00    
49,715,127,2021-09-09 19:00:00    ,2022-05-18 15:00:00    
50,715,149,2021-09-09 19:00:00    ,2022-05-18 21:00:00    
51,733,177,2021-08-01 04:00:00    ,2022-05-19 03:00:00    
52,814,144,2021-08-01 04:00:00    ,2022-05-18 19:00:00    
53,836,164,2021-08-01 04:00:00    ,2022-05-19 01:00:00    
54,859,102,2021-06-01 04:00:00    ,2022-05-18 11:00:00    
55,859,104,2021-06-01 04:00:00    ,2022-05-18 12:00:00    
56,880,163,2021-01-01 04:00:00    ,2022-05-19 01:00:00    
57,898,228,2021-11-19 15:00:00    ,2022-05-19 17:00:00    
58,898,230,2021-11-19 16:00:00    ,2022-05-19 17:00:00    
59,898,232,2021-11-19 16:00:00    ,2022-05-19 17:00:00    
60,898,236,2021-11-19 16:00:00    ,2022-05-19 17:00:00    
61,898,268,2021-11-19 16:00:00    ,2022-05-19 20:00:00    
62,898,269,2021-11-19 16:00:00    ,2022-05-19 20:00:00    
63,1052,339,2021-08-01 04:00:00    ,2022-05-20 03:00:00    
64,1052,340,2021-08-01 04:00:00    ,2022-05-20 04:00:00    
65,1052,341,2021-08-01 04:00:00    ,2022-05-20 04:00:00    
66,1052,342,2021-08-01 04:00:00    ,2022-05-20 05:00:00    
67,1052,343,2021-08-01 04:00:00    ,2022-05-20 05:00:00    
68,1052,344,2021-08-01 04:00:00    ,2022-05-20 06:00:00    
69,1078,329,2021-08-28 15:00:00    ,2022-05-19 22:00:00    
70,1078,330,2021-09-09 12:00:00    ,2022-05-19 14:00:00    
71,1098,37,2021-08-01 04:00:00    ,2022-05-17 21:00:00    
72,1256,83,2021-08-01 04:00:00    ,2022-05-18 08:00:00    
73,1344,197,2021-09-09 19:00:00    ,2022-05-19 13:00:00    
74,1344,198,2021-09-09 19:00:00    ,2022-05-19 13:00:00    
75,1367,352,2021-09-09 19:00:00    ,2022-05-20 02:00:00    
76,1367,353,2021-09-09 19:00:00    ,2022-05-20 02:00:00    
77,1367,355,2021-09-09 19:00:00    ,2022-05-20 08:00:00    
78,1381,347,2021-07-01 04:00:00    ,2022-05-20 06:00:00    
79,1381,348,2021-11-20 06:00:00    ,2022-05-20 07:00:00    
80,1469,52,2021-06-01 04:00:00    ,2022-05-18 01:00:00    
81,1631,82,2021-09-09 19:00:00    ,2022-05-18 08:00:00    
82,1632,178,2021-09-09 19:00:00    ,2022-05-19 03:00:00    
83,1632,179,2021-09-09 19:00:00    ,2022-05-19 04:00:00    
84,1632,181,2021-09-09 19:00:00    ,2022-05-19 05:00:00    
85,1632,182,2021-09-09 19:00:00    ,2022-05-19 05:00:00    
86,1632,183,2021-09-09 19:00:00    ,2022-05-19 06:00:00    
87,1632,184,2021-09-09 19:00:00    ,2022-05-19 07:00:00    
88,1641,46,2021-09-09 19:00:00    ,2022-05-17 23:00:00    
89,1641,49,2021-09-09 19:00:00    ,2022-05-18 00:00:00    
90,1641,62,2021-09-09 19:00:00    ,2022-05-18 02:00:00    
91,1641,63,2021-09-09 19:00:00    ,2022-05-18 03:00:00    
92,1653,48,2021-08-01 04:00:00    ,2022-05-18 00:00:00    
93,1653,128,2021-08-01 04:00:00    ,2022-05-18 14:00:00    
94,1661,291,2021-09-09 20:00:00    ,2021-11-11 15:00:00    
95,1674,34,2021-08-01 04:00:00    ,2022-05-17 21:00:00    
96,1674,35,2021-08-01 04:00:00    ,2022-04-01 03:00:00    
97,1674,36,2021-08-01 04:00:00    ,2022-05-17 22:00:00    
98,1674,39,2021-08-01 04:00:00    ,2022-05-17 06:00:00    
99,1719,129,2021-08-01 04:00:00    ,2022-05-18 15:00:00    
100,1719,131,2021-08-01 04:00:00    ,2022-05-18 16:00:00    
101,1719,132,2021-09-09 20:00:00    ,2022-05-18 16:00:00    
102,1719,133,2021-09-09 19:00:00    ,2022-05-18 16:00:00    
103,1719,134,2021-09-09 18:00:00    ,2022-02-13 12:00:00    
104,1719,135,2021-09-09 19:00:00    ,2022-05-17 06:00:00    
105,1802,185,2021-09-09 19:00:00    ,2022-05-19 07:00:00    
106,1802,186,2021-09-09 19:00:00    ,2022-05-19 08:00:00    
107,1802,188,2021-09-09 19:00:00    ,2022-05-19 09:00:00    
108,1802,189,2021-09-09 19:00:00    ,2022-05-19 09:00:00    
109,1802,190,2021-09-09 19:00:00    ,2022-05-19 10:00:00    
110,1802,191,2021-09-09 19:00:00    ,2022-05-19 11:00:00    
111,1802,192,2021-09-09 19:00:00    ,2022-05-19 11:00:00    
112,1838,222,2021-08-06 08:00:00    ,2021-12-25 14:00:00    
113,1862,194,2021-09-09 19:00:00    ,2022-05-19 12:00:00    
114,2023,84,2021-06-03 17:00:00    ,2022-05-10 13:00:00    
115,2023,91,2021-06-03 17:00:00    ,2022-05-10 13:00:00    
116,2023,92,2021-06-03 17:00:00    ,2022-05-10 13:00:00    
117,2023,93,2021-08-01 04:00:00    ,2022-05-10 13:00:00    
118,2067,440,2021-09-09 18:00:00    ,2022-05-20 08:00:00    
119,2067,2957,2022-02-01 04:00:00    ,2022-05-20 11:00:00    
120,2067,2958,2022-02-01 04:00:00    ,2022-05-20 11:00:00    
121,2067,2959,2022-02-01 04:00:00    ,2022-05-19 19:00:00    
122,2086,552,2021-11-09 14:00:00    ,2021-11-13 15:00:00    
123,2431,64,2021-08-01 04:00:00    ,2022-05-18 04:00:00    
124,2431,65,2021-08-01 04:00:00    ,2022-05-18 04:00:00    
125,2435,50,2021-09-09 19:00:00    ,2022-05-18 00:00:00    
126,2435,73,2021-09-09 19:00:00    ,2022-05-18 06:00:00    
127,2435,78,2021-09-09 19:00:00    ,2022-05-18 06:00:00    
128,2435,79,2021-09-09 19:00:00    ,2022-05-18 07:00:00    
